--------------------------------------------------
port_num : 9999
world_size : 8
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
moco_dim : 128
moco_k : 65536
moco_m : 0.999
moco_t : 0.2
start_epoch : 0
epochs : 800
warmup_epochs : 0
min_lr : 1e-08
lr : 0.03
momentum : 0.9
weight_decay : 0.0001
resume : 
save : True
save_name : MoCo_ResNet50_800
save_freq : 1
print_freq : 200
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,2.39,0.030000,9.709080,00:17:47,9.188245,00:00:41,
001,15.85,0.030000,8.579863,00:17:52,8.185012,00:00:40,
002,30.08,0.029999,8.051795,00:17:57,7.849351,00:00:40,
003,36.36,0.029998,7.828507,00:17:51,7.715802,00:00:40,
004,46.31,0.029997,7.677443,00:17:50,7.558842,00:00:40,
005,51.56,0.029996,7.563009,00:17:50,7.470442,00:00:40,
006,52.35,0.029994,7.472908,00:17:50,7.436615,00:00:40,
007,57.76,0.029993,7.396668,00:17:50,7.352924,00:00:40,
008,63.24,0.029991,7.335350,00:17:51,7.263238,00:00:40,
009,64.25,0.029988,7.281261,00:17:50,7.235836,00:00:40,
010,67.74,0.029986,7.236832,00:17:50,7.178009,00:00:40,
011,65.82,0.029983,7.201617,00:17:51,7.193695,00:00:40,
012,68.73,0.029980,7.171255,00:17:49,7.139084,00:00:40,
013,70.68,0.029977,7.144907,00:17:51,7.105174,00:00:40,
014,70.19,0.029974,7.121932,00:17:50,7.096772,00:00:40,
015,71.29,0.029970,7.102375,00:17:50,7.075358,00:00:40,
016,72.09,0.029967,7.084695,00:17:50,7.052815,00:00:40,
017,71.86,0.029963,7.067500,00:17:49,7.060386,00:00:40,
018,72.79,0.029958,7.053996,00:17:50,7.036463,00:00:40,
019,74.19,0.029954,7.040321,00:17:49,6.999931,00:00:40,
020,74.05,0.029949,7.029227,00:17:50,6.993872,00:00:40,
021,73.02,0.029944,7.019747,00:17:51,7.007349,00:00:40,
022,74.11,0.029939,7.010576,00:17:50,6.982025,00:00:40,
023,74.57,0.029933,7.002742,00:17:50,6.968922,00:00:40,
024,74.66,0.029928,6.995643,00:17:52,6.966053,00:00:40,
025,74.82,0.029922,6.988625,00:17:50,6.963345,00:00:40,
026,74.67,0.029916,6.982484,00:17:49,6.956697,00:00:40,
027,72.35,0.029909,6.975663,00:17:50,6.993543,00:00:40,
028,74.89,0.029903,6.970026,00:17:51,6.944042,00:00:40,
029,74.27,0.029896,6.966906,00:17:50,6.950753,00:00:40,
030,74.73,0.029889,6.961183,00:17:50,6.933437,00:00:40,
031,74.72,0.029882,6.956827,00:17:50,6.924239,00:00:40,
032,74.82,0.029874,6.951821,00:17:49,6.932721,00:00:40,
033,74.02,0.029866,6.948799,00:17:49,6.926935,00:00:40,
034,73.90,0.029859,6.945863,00:17:49,6.932364,00:00:40,
