--------------------------------------------------
port_num : 9999
world_size : 8
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
pretrained : /home/jslee/ImageNet/MoCo/checkpoints/MoCo_ResNet50_0799.pth.tar
num_classes : 1000
epochs : 100
schedule : [60, 80]
lr : 30
momentum : 0.9
weight_decay : 0
save : True
save_name : ResNet50_799_q
save_freq : 1
print_freq : 100
log : /home/jslee/ImageNet/MoCo/logs/
checkpoint : /home/jslee/ImageNet/MoCo/checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,58.80,30.000000,2.175847,00:05:02,1.787338,00:00:23,
001,60.80,30.000000,1.849189,00:05:00,1.688255,00:00:22,
002,61.83,30.000000,1.762640,00:04:59,1.650644,00:00:22,
003,62.91,30.000000,1.707396,00:04:59,1.594680,00:00:22,
004,63.33,30.000000,1.663996,00:04:59,1.581543,00:00:22,
005,63.64,30.000000,1.634137,00:04:59,1.566433,00:00:22,
006,63.97,30.000000,1.605774,00:04:59,1.563320,00:00:22,
007,64.27,30.000000,1.581269,00:04:58,1.542589,00:00:22,
008,64.30,30.000000,1.564516,00:04:59,1.551602,00:00:22,
009,64.58,30.000000,1.546804,00:04:59,1.527052,00:00:22,
010,64.69,30.000000,1.530807,00:04:59,1.520720,00:00:22,
011,64.79,30.000000,1.516967,00:04:59,1.522302,00:00:22,
012,65.03,30.000000,1.505558,00:04:59,1.513806,00:00:22,
013,65.15,30.000000,1.493943,00:04:59,1.526250,00:00:22,
014,65.21,30.000000,1.484519,00:04:59,1.508092,00:00:22,
015,65.35,30.000000,1.474011,00:04:59,1.502573,00:00:22,
016,65.46,30.000000,1.464894,00:04:59,1.495454,00:00:22,
017,65.28,30.000000,1.456267,00:04:58,1.502550,00:00:22,
018,65.64,30.000000,1.447900,00:04:59,1.496660,00:00:22,
019,65.52,30.000000,1.441311,00:04:59,1.503294,00:00:22,
020,65.57,30.000000,1.434431,00:04:58,1.492738,00:00:22,
021,65.85,30.000000,1.430297,00:04:58,1.484871,00:00:22,
022,65.60,30.000000,1.424632,00:04:59,1.511553,00:00:22,
023,65.54,30.000000,1.418240,00:04:59,1.502398,00:00:22,
024,65.76,30.000000,1.412754,00:04:59,1.492824,00:00:22,
025,65.72,30.000000,1.406935,00:04:59,1.496071,00:00:22,
026,65.72,30.000000,1.400339,00:04:59,1.496868,00:00:22,
027,65.72,30.000000,1.399095,00:04:59,1.499360,00:00:22,
028,65.84,30.000000,1.394022,00:05:00,1.491936,00:00:22,
029,66.08,30.000000,1.387692,00:05:00,1.495824,00:00:22,
030,66.21,30.000000,1.385225,00:05:00,1.477612,00:00:22,
031,66.03,30.000000,1.382253,00:05:00,1.495655,00:00:22,
032,66.20,30.000000,1.377260,00:04:59,1.486347,00:00:22,
033,66.40,30.000000,1.373614,00:04:59,1.482915,00:00:22,
034,66.19,30.000000,1.369661,00:04:59,1.493731,00:00:22,
035,66.15,30.000000,1.368759,00:04:59,1.488020,00:00:22,
036,66.30,30.000000,1.363204,00:04:58,1.483211,00:00:22,
037,66.01,30.000000,1.359611,00:04:59,1.504031,00:00:22,
038,66.15,30.000000,1.358260,00:05:00,1.494280,00:00:22,
039,66.09,30.000000,1.354362,00:04:58,1.496973,00:00:22,
040,66.35,30.000000,1.348096,00:04:59,1.486807,00:00:22,
041,65.97,30.000000,1.347674,00:04:59,1.497686,00:00:22,
042,66.22,30.000000,1.347200,00:04:59,1.494935,00:00:22,
043,66.37,30.000000,1.345247,00:04:59,1.488646,00:00:23,
044,66.46,30.000000,1.342490,00:04:59,1.488614,00:00:22,
045,66.25,30.000000,1.341363,00:04:59,1.488676,00:00:22,
046,66.24,30.000000,1.337721,00:04:59,1.495490,00:00:22,
047,66.27,30.000000,1.335465,00:05:01,1.493545,00:00:22,
048,66.00,30.000000,1.333781,00:05:02,1.513448,00:00:22,
049,66.23,30.000000,1.328091,00:05:01,1.495230,00:00:22,
050,66.34,30.000000,1.329361,00:04:59,1.496360,00:00:22,
051,66.26,30.000000,1.324063,00:04:59,1.488792,00:00:22,
052,66.42,30.000000,1.322327,00:04:59,1.495982,00:00:22,
053,66.15,30.000000,1.321620,00:04:59,1.507581,00:00:22,
054,66.33,30.000000,1.317764,00:04:58,1.499804,00:00:22,
055,66.32,30.000000,1.318063,00:04:59,1.495445,00:00:22,
056,66.35,30.000000,1.318282,00:04:59,1.498717,00:00:22,
057,66.35,30.000000,1.314094,00:05:00,1.500934,00:00:22,
058,66.47,30.000000,1.314997,00:05:00,1.495049,00:00:22,
059,66.13,30.000000,1.311359,00:04:59,1.515261,00:00:22,
060,69.47,3.000000,1.128847,00:04:59,1.303887,00:00:22,
061,69.60,3.000000,1.117137,00:04:59,1.295684,00:00:22,
062,69.62,3.000000,1.114354,00:04:59,1.290005,00:00:22,
063,69.60,3.000000,1.112159,00:04:59,1.289667,00:00:22,
064,69.59,3.000000,1.108759,00:04:59,1.287089,00:00:22,
065,69.63,3.000000,1.109995,00:04:58,1.286369,00:00:22,
066,69.59,3.000000,1.107982,00:04:59,1.285702,00:00:22,
067,69.55,3.000000,1.106749,00:04:59,1.287095,00:00:22,
068,69.67,3.000000,1.105318,00:04:58,1.283395,00:00:22,
069,69.56,3.000000,1.105850,00:05:00,1.284123,00:00:22,
070,69.67,3.000000,1.103985,00:05:00,1.281899,00:00:22,
071,69.64,3.000000,1.102968,00:04:59,1.279772,00:00:22,
072,69.61,3.000000,1.101697,00:04:59,1.281039,00:00:22,
073,69.64,3.000000,1.102751,00:04:59,1.279905,00:00:22,
074,69.57,3.000000,1.099565,00:04:59,1.280633,00:00:22,
075,69.57,3.000000,1.100924,00:05:00,1.279373,00:00:22,
076,69.57,3.000000,1.098161,00:04:59,1.276680,00:00:23,
077,69.56,3.000000,1.098627,00:04:59,1.280715,00:00:22,
078,69.61,3.000000,1.100377,00:05:00,1.276527,00:00:22,
079,69.59,3.000000,1.098955,00:04:59,1.277275,00:00:22,
080,70.04,0.300000,1.083890,00:04:59,1.263273,00:00:22,
081,70.04,0.300000,1.083764,00:04:59,1.260499,00:00:22,
082,69.95,0.300000,1.081509,00:05:00,1.260840,00:00:22,
083,70.03,0.300000,1.080502,00:04:59,1.260425,00:00:22,
084,70.03,0.300000,1.082476,00:04:59,1.258454,00:00:22,
085,69.98,0.300000,1.082071,00:05:00,1.258699,00:00:22,
086,70.08,0.300000,1.081031,00:04:59,1.259817,00:00:22,
087,70.02,0.300000,1.081135,00:05:00,1.260490,00:00:22,
088,70.02,0.300000,1.082339,00:05:00,1.260091,00:00:22,
089,70.00,0.300000,1.082017,00:04:59,1.259802,00:00:22,
090,69.98,0.300000,1.083769,00:05:01,1.259209,00:00:22,
091,70.05,0.300000,1.082943,00:04:59,1.259113,00:00:22,
092,69.97,0.300000,1.080233,00:05:00,1.258461,00:00:22,
093,70.02,0.300000,1.080260,00:04:59,1.258924,00:00:22,
094,70.00,0.300000,1.079955,00:05:00,1.260957,00:00:22,
095,70.00,0.300000,1.082840,00:04:59,1.257935,00:00:22,
096,69.90,0.300000,1.081050,00:04:59,1.258866,00:00:22,
097,69.98,0.300000,1.081533,00:04:59,1.258644,00:00:22,
098,69.98,0.300000,1.080289,00:04:59,1.259804,00:00:22,
099,69.99,0.300000,1.082824,00:04:59,1.258475,00:00:22,
