--------------------------------------------------
port_num : 8999
world_size : 2
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
pretrained : ./checkpoints/MoCo_ResNet50_800_0799.pth.tar
model_type : key
num_classes : 1000
epochs : 100
schedule : [60, 80]
lr : 30
momentum : 0.9
weight_decay : 0
save : True
save_name : ResNet50_800_0799_k
save_freq : 1
print_freq : 100
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,58.53,30.000000,2.167398,00:17:40,1.783515,00:00:57,
001,60.42,30.000000,1.846030,00:17:57,1.688873,00:00:56,
002,61.51,30.000000,1.757988,00:17:54,1.641571,00:00:57,
003,62.28,30.000000,1.700288,00:17:54,1.607860,00:00:57,
004,62.57,30.000000,1.658666,00:17:59,1.592139,00:00:56,
005,63.26,30.000000,1.627590,00:17:55,1.568926,00:00:58,
006,63.55,30.000000,1.599201,00:17:57,1.562011,00:00:57,
007,63.71,30.000000,1.575641,00:18:06,1.557124,00:00:55,
008,64.13,30.000000,1.559746,00:18:03,1.529978,00:00:58,
009,64.51,30.000000,1.544187,00:18:11,1.529052,00:00:58,
010,64.41,30.000000,1.527437,00:18:13,1.525242,00:00:55,
011,64.43,30.000000,1.513925,00:17:53,1.531322,00:00:56,
012,64.96,30.000000,1.501875,00:18:05,1.515252,00:00:56,
013,64.91,30.000000,1.489904,00:18:08,1.519792,00:00:57,
014,65.05,30.000000,1.476929,00:18:06,1.509017,00:00:59,
015,64.99,30.000000,1.474338,00:18:05,1.504532,00:00:58,
016,65.42,30.000000,1.459640,00:17:56,1.490477,00:00:57,
017,65.12,30.000000,1.453292,00:17:57,1.511799,00:00:58,
018,64.97,30.000000,1.444419,00:17:56,1.508186,00:00:58,
019,65.13,30.000000,1.437931,00:17:49,1.507409,00:01:00,
020,65.12,30.000000,1.431936,00:18:03,1.503281,00:00:57,
021,65.34,30.000000,1.426071,00:18:03,1.496907,00:00:59,
022,65.54,30.000000,1.420228,00:17:55,1.502176,00:00:59,
023,65.53,30.000000,1.412566,00:18:01,1.497143,00:00:59,
024,65.67,30.000000,1.407848,00:18:07,1.490052,00:00:57,
025,65.64,30.000000,1.401625,00:18:07,1.491585,00:00:59,
026,65.47,30.000000,1.396175,00:18:02,1.496517,00:00:59,
027,65.92,30.000000,1.392657,00:17:51,1.482305,00:00:59,
028,65.34,30.000000,1.390196,00:17:57,1.501767,00:01:00,
029,66.06,30.000000,1.384261,00:18:00,1.486212,00:00:59,
030,65.79,30.000000,1.382925,00:18:02,1.491529,00:00:59,
031,65.67,30.000000,1.375968,00:17:59,1.500998,00:01:00,
032,65.72,30.000000,1.373068,00:18:03,1.500592,00:01:00,
033,65.80,30.000000,1.370406,00:18:01,1.489801,00:00:59,
034,66.00,30.000000,1.366595,00:17:56,1.497590,00:00:57,
035,65.67,30.000000,1.362472,00:18:03,1.500472,00:01:00,
036,65.86,30.000000,1.357498,00:18:20,1.487848,00:00:58,
037,65.98,30.000000,1.355589,00:18:05,1.492528,00:00:57,
038,65.99,30.000000,1.351164,00:18:04,1.491650,00:00:58,
039,65.92,30.000000,1.349629,00:18:02,1.490255,00:00:58,
040,65.74,30.000000,1.348982,00:17:56,1.498914,00:01:00,
041,65.96,30.000000,1.344175,00:17:58,1.498531,00:00:59,
042,65.97,30.000000,1.341280,00:17:54,1.495422,00:00:59,
043,65.93,30.000000,1.336879,00:17:59,1.504077,00:01:00,
044,65.88,30.000000,1.336661,00:18:04,1.499994,00:00:59,
045,66.20,30.000000,1.335718,00:18:00,1.492462,00:00:59,
046,65.76,30.000000,1.330668,00:18:02,1.509912,00:00:58,
047,66.19,30.000000,1.331408,00:17:49,1.494384,00:00:59,
048,66.25,30.000000,1.327108,00:18:11,1.486874,00:00:59,
049,66.55,30.000000,1.325712,00:17:56,1.474898,00:01:00,
050,66.01,30.000000,1.323354,00:17:55,1.506653,00:00:58,
051,66.36,30.000000,1.321017,00:17:54,1.487302,00:00:59,
052,66.03,30.000000,1.320514,00:18:04,1.492635,00:00:59,
053,66.36,30.000000,1.319863,00:18:06,1.486617,00:00:59,
054,66.17,30.000000,1.318695,00:18:00,1.501965,00:00:59,
055,66.19,30.000000,1.316043,00:17:59,1.506745,00:01:00,
056,66.04,30.000000,1.313187,00:17:53,1.512117,00:00:59,
057,65.92,30.000000,1.311263,00:18:03,1.504346,00:00:59,
058,66.08,30.000000,1.311906,00:18:01,1.498568,00:01:00,
059,66.11,30.000000,1.305225,00:18:09,1.498718,00:00:59,
060,69.68,3.000000,1.114019,00:17:58,1.287307,00:00:59,
061,69.74,3.000000,1.102352,00:18:03,1.282070,00:00:59,
062,69.79,3.000000,1.097123,00:18:01,1.280677,00:00:57,
063,69.79,3.000000,1.096869,00:17:58,1.277389,00:00:58,
064,69.83,3.000000,1.094742,00:18:06,1.276884,00:00:58,
065,69.80,3.000000,1.093666,00:18:03,1.273882,00:00:57,
066,69.82,3.000000,1.092902,00:18:01,1.272574,00:00:56,
067,69.72,3.000000,1.091705,00:18:04,1.272655,00:00:57,
068,69.88,3.000000,1.089177,00:18:03,1.270803,00:00:57,
069,69.80,3.000000,1.091700,00:18:01,1.269480,00:00:57,
070,69.77,3.000000,1.090139,00:18:04,1.269661,00:00:57,
071,69.86,3.000000,1.088934,00:18:01,1.267860,00:00:57,
072,69.76,3.000000,1.087395,00:17:46,1.268541,00:00:56,
073,69.75,3.000000,1.084945,00:17:59,1.266866,00:00:56,
074,69.85,3.000000,1.086331,00:17:58,1.267994,00:00:58,
075,69.77,3.000000,1.086575,00:18:02,1.266928,00:00:58,
076,69.82,3.000000,1.086100,00:17:56,1.266646,00:00:58,
077,69.87,3.000000,1.084749,00:18:01,1.266018,00:00:59,
078,69.96,3.000000,1.085190,00:18:02,1.266389,00:01:00,
079,69.89,3.000000,1.083485,00:18:02,1.265390,00:00:58,
080,70.07,0.300000,1.066420,00:18:04,1.248648,00:01:00,
081,70.07,0.300000,1.067310,00:17:56,1.247809,00:01:01,
082,70.08,0.300000,1.065894,00:18:05,1.247713,00:01:00,
083,70.05,0.300000,1.065326,00:18:03,1.247676,00:01:00,
084,70.09,0.300000,1.069015,00:18:01,1.247021,00:01:01,
085,70.11,0.300000,1.065749,00:17:55,1.247918,00:00:59,
086,70.08,0.300000,1.067796,00:17:58,1.246393,00:01:01,
087,70.10,0.300000,1.065916,00:17:59,1.246516,00:01:00,
088,70.12,0.300000,1.065750,00:18:04,1.247226,00:01:01,
089,70.08,0.300000,1.065934,00:17:53,1.246849,00:01:01,
090,70.11,0.300000,1.066533,00:17:59,1.247164,00:01:02,
091,70.13,0.300000,1.065430,00:17:59,1.246387,00:00:59,
092,70.09,0.300000,1.065795,00:17:56,1.246945,00:01:00,
093,70.12,0.300000,1.063238,00:17:53,1.246591,00:00:59,
094,70.08,0.300000,1.063931,00:17:58,1.246234,00:01:00,
095,70.08,0.300000,1.066948,00:18:01,1.246678,00:01:00,
096,70.08,0.300000,1.067356,00:18:03,1.245967,00:01:00,
097,70.06,0.300000,1.063603,00:17:51,1.245787,00:01:02,
098,70.12,0.300000,1.064993,00:18:00,1.245675,00:01:02,
099,70.15,0.300000,1.068001,00:18:07,1.246129,00:00:59,
