--------------------------------------------------
port_num : 9999
world_size : 2
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
pretrained : ./checkpoints/MoCo_ResNet50_800_0799.pth.tar
model_type : query
num_classes : 1000
epochs : 100
schedule : [60, 80]
lr : 30
momentum : 0.9
weight_decay : 0
save : True
save_name : ResNet50_800_0799_q
save_freq : 1
print_freq : 100
log : ./logs/
checkpoint : ./checkpoints/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,58.52,30.000000,2.167729,00:17:25,1.785417,00:01:04,
001,60.76,30.000000,1.845172,00:17:54,1.679889,00:01:03,
002,61.88,30.000000,1.756401,00:17:52,1.630030,00:01:03,
003,62.40,30.000000,1.700914,00:17:52,1.609315,00:01:03,
004,62.46,30.000000,1.659934,00:17:55,1.602118,00:01:04,
005,63.43,30.000000,1.626702,00:17:56,1.565831,00:01:04,
006,63.54,30.000000,1.601641,00:17:53,1.555964,00:01:02,
007,64.03,30.000000,1.580768,00:17:53,1.536386,00:01:04,
008,64.05,30.000000,1.561841,00:17:53,1.541128,00:01:01,
009,64.15,30.000000,1.543385,00:17:57,1.528658,00:01:03,
010,64.22,30.000000,1.527681,00:18:09,1.533229,00:01:03,
011,64.31,30.000000,1.513489,00:17:58,1.522841,00:01:01,
012,64.89,30.000000,1.501118,00:18:01,1.518024,00:01:02,
013,64.71,30.000000,1.488547,00:18:06,1.529438,00:01:00,
014,65.25,30.000000,1.481178,00:17:56,1.501069,00:01:01,
015,65.21,30.000000,1.470956,00:18:01,1.500180,00:00:59,
016,65.09,30.000000,1.462213,00:18:01,1.500989,00:00:59,
017,65.23,30.000000,1.452154,00:18:04,1.498249,00:01:00,
018,65.59,30.000000,1.444840,00:17:50,1.479662,00:01:00,
019,65.22,30.000000,1.438484,00:17:55,1.498584,00:01:00,
020,65.51,30.000000,1.429188,00:17:51,1.494567,00:01:01,
021,65.57,30.000000,1.427168,00:17:56,1.486556,00:01:00,
022,65.60,30.000000,1.420877,00:18:02,1.496846,00:00:59,
023,65.63,30.000000,1.412435,00:18:06,1.496761,00:01:02,
024,65.35,30.000000,1.407010,00:17:59,1.503494,00:01:00,
025,65.65,30.000000,1.400334,00:18:03,1.487766,00:01:00,
026,65.79,30.000000,1.397531,00:18:04,1.485486,00:01:01,
027,65.60,30.000000,1.392901,00:18:05,1.491700,00:00:59,
028,65.46,30.000000,1.390585,00:18:05,1.505744,00:01:01,
029,65.86,30.000000,1.385504,00:18:00,1.487366,00:00:59,
030,65.90,30.000000,1.381919,00:18:06,1.489507,00:01:00,
031,65.99,30.000000,1.377871,00:18:02,1.485183,00:01:00,
032,65.94,30.000000,1.371838,00:18:01,1.485643,00:00:59,
033,65.87,30.000000,1.369101,00:18:01,1.485896,00:01:01,
034,65.79,30.000000,1.365529,00:18:01,1.498106,00:01:00,
035,65.73,30.000000,1.360387,00:18:05,1.494845,00:00:59,
036,65.93,30.000000,1.359776,00:18:06,1.480106,00:00:59,
037,65.81,30.000000,1.357393,00:17:57,1.501428,00:01:00,
038,66.12,30.000000,1.354087,00:18:01,1.484082,00:01:00,
039,65.91,30.000000,1.348770,00:18:02,1.493249,00:00:58,
040,65.90,30.000000,1.348726,00:17:52,1.506089,00:01:00,
041,65.90,30.000000,1.344273,00:18:00,1.492065,00:01:01,
042,65.97,30.000000,1.342972,00:17:56,1.498731,00:01:00,
043,66.05,30.000000,1.336600,00:17:56,1.502002,00:01:00,
044,66.06,30.000000,1.335969,00:18:03,1.492094,00:01:01,
045,65.94,30.000000,1.335673,00:18:04,1.492650,00:00:58,
046,66.04,30.000000,1.332651,00:17:56,1.486233,00:01:00,
047,66.25,30.000000,1.329545,00:18:01,1.487837,00:01:00,
048,66.11,30.000000,1.330251,00:18:04,1.492718,00:00:59,
049,65.97,30.000000,1.327296,00:17:59,1.502107,00:00:59,
050,66.00,30.000000,1.323629,00:18:02,1.489283,00:00:57,
051,66.17,30.000000,1.321951,00:18:03,1.492228,00:00:57,
052,66.18,30.000000,1.320360,00:18:04,1.495383,00:00:56,
053,66.08,30.000000,1.316376,00:18:05,1.493919,00:00:57,
054,66.44,30.000000,1.316953,00:18:04,1.487437,00:00:57,
055,66.00,30.000000,1.315244,00:18:00,1.500541,00:00:56,
056,66.30,30.000000,1.313222,00:18:04,1.491006,00:00:55,
057,65.92,30.000000,1.312254,00:18:02,1.520707,00:00:56,
058,65.88,30.000000,1.313073,00:18:02,1.512370,00:00:57,
059,66.16,30.000000,1.309967,00:18:12,1.502699,00:00:56,
060,69.71,3.000000,1.113299,00:18:03,1.290325,00:00:57,
061,69.69,3.000000,1.101649,00:17:59,1.284678,00:00:58,
062,69.85,3.000000,1.095947,00:18:04,1.279042,00:00:56,
063,69.75,3.000000,1.096452,00:18:03,1.275891,00:00:57,
064,69.77,3.000000,1.094132,00:18:02,1.276187,00:00:59,
065,69.77,3.000000,1.092178,00:18:04,1.274666,00:00:58,
066,69.79,3.000000,1.093658,00:18:09,1.274282,00:00:55,
067,69.83,3.000000,1.090444,00:18:09,1.271718,00:00:57,
068,69.73,3.000000,1.090180,00:18:04,1.272252,00:00:58,
069,69.81,3.000000,1.089838,00:17:56,1.271587,00:00:58,
070,69.84,3.000000,1.087402,00:18:02,1.270070,00:00:59,
